sofifa_id,nationality,club_name,league_name
206521,Korea Republic,Busan IPark,Korean K League Classic
206659,United States,FC Cincinnati,USA Major League Soccer
208797,Malta,Colchester United,English League Two
209369,England,Östersunds FK,Swedish Allsvenskan
209501,Brazil,Kalmar FF,Swedish Allsvenskan
209961,Germany,FSV Zwickau,German 3. Bundesliga
211228,England,Swindon Town,English League One
211389,Paraguay,River Plate Asunción,Paraguayan Primera División
213094,New Zealand,Melbourne Victory,Australian Hyundai A-League
216110,Poland,Górnik Zabrze,Polish T-Mobile Ekstraklasa
216226,England,Morecambe,English League Two
216746,Poland,Górnik Zabrze,Polish T-Mobile Ekstraklasa
221373,Saudi Arabia,Al Faisaly,Saudi Abdul L. Jameel League
222351,China PR,Jiangsu Suning FC,Chinese Super League
222592,Korea Republic,Daegu FC,Korean K League Classic
224413,Colombia,América de Cali,Colombian Liga Postobón
224602,China PR,Shanghai SIPG FC,Chinese Super League
224615,China PR,Shenzhen FC,Chinese Super League
226181,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League
226190,China PR,Qingdao Huanghai F.C.,Chinese Super League
227754,Korea Republic,Sangju Sangmu FC,Korean K League Classic
228266,Iceland,,
230830,Spain,Club Necaxa,Mexican Liga MX
231686,Norway,IK Start,Norwegian Eliteserien
232507,Japan,Sanfrecce Hiroshima,Japanese J. League Division 1
232825,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic
233581,Korea Republic,Incheon United FC,Korean K League Classic
233772,Korea Republic,Sangju Sangmu FC,Korean K League Classic
236241,Bolivia,Club Bolívar,Liga de Fútbol Profesional Boliviano
241653,Sweden,Helsingborgs IF,Swedish Allsvenskan
248485,Korea Republic,Ulsan Hyundai FC,Korean K League Classic
251032,France,Rodez Aveyron Football,French Ligue 2
253362,Ecuador,Universidad Católica del Ecuador,Ecuadorian Serie A
255138,Romania,UTA Arad,Romanian Liga I
255267,Bolivia,Nacional Potosí,Liga de Fútbol Profesional Boliviano
257414,Senegal,Chamois Niortais Football Club,French Ligue 2
257423,Mexico,Club Atlas,Mexican Liga MX
257646,Poland,Warta Poznań,Polish T-Mobile Ekstraklasa
52679,Republic of Ireland,Tranmere Rovers,English League Two
120243,Italy,Benevento,Italian Serie A
144024,Switzerland,FC Luzern,Swiss Super League
150995,Finland,Lokomotiv Moscow,Russian Premier League
152505,England,Southend United,English League Two
153062,Argentina,SD Aucas,Ecuadorian Serie A
157407,Republic of Ireland,St. Patrick's Athletic,Rep. Ireland Airtricity League
159578,Jamaica,Bradford City,English League Two
162388,Japan,Nagoya Grampus,Japanese J. League Division 1
163254,England,Ross County FC,Scottish Premiership
163858,England,Ross County FC,Scottish Premiership
165502,England,Barrow,English League Two
165787,Argentina,Patronato,Argentina Primera División
